bus_id,name,area,model,unit_id,H_s,governor,governor_R_like,notes
3115,PORJUS,SE1,GENSAL,1,4.741,HYGOV,0.06,"GENSAL order: Tdo', Tdo'', Tqo'', H, D, reactances...; H is fourth numeric parameter"
6500,TRONDHEIM,NO3,GENSAL,1,3.558,HYGOV,0.06,"Representative first machine at bus 6500; H is fourth GENSAL numeric parameter"
6700,ROSSAGA,NO4,GENSAL,1,3.592,HYGOV,0.06,"Representative first machine at bus 6700; H is fourth GENSAL numeric parameter"
7100,OULU,FI,GENSAL,1,3.200,,,"Representative first machine at bus 7100; H is fourth GENSAL numeric parameter"
